A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: AE (fine-tune) (seed=2)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=1008, episodic_return=0.0, episodic_length=520
global_step=1024, episodic_return=0.0, episodic_length=539
global_step=1112, episodic_return=0.0, episodic_length=567
global_step=1120, episodic_return=0.0, episodic_length=582
global_step=1488, episodic_return=1.0, episodic_length=766
global_step=1504, episodic_return=1.0, episodic_length=750
global_step=1984, episodic_return=2.0, episodic_length=994
global_step=2440, episodic_return=1.0, episodic_length=725
global_step=2600, episodic_return=4.0, episodic_length=1320
global_step=2824, episodic_return=2.0, episodic_length=910
global_step=2880, episodic_return=2.0, episodic_length=885
global_step=3120, episodic_return=2.0, episodic_length=827
global_step=3336, episodic_return=2.0, episodic_length=920
global_step=3520, episodic_return=0.0, episodic_length=548
global_step=3608, episodic_return=0.0, episodic_length=521
global_step=3616, episodic_return=4.0, episodic_length=1262
global_step=3880, episodic_return=0.0, episodic_length=532
global_step=3912, episodic_return=0.0, episodic_length=537
global_step=4392, episodic_return=0.0, episodic_length=536
global_step=4424, episodic_return=4.0, episodic_length=1220
global_step=4608, episodic_return=0.0, episodic_length=553
global_step=5440, episodic_return=0.0, episodic_length=525
global_step=5480, episodic_return=2.0, episodic_length=822
global_step=5536, episodic_return=0.0, episodic_length=575
global_step=5592, episodic_return=4.0, episodic_length=1238
global_step=5656, episodic_return=3.0, episodic_length=1034
global_step=5736, episodic_return=3.0, episodic_length=1085
global_step=6568, episodic_return=2.0, episodic_length=988
global_step=6920, episodic_return=1.0, episodic_length=751
global_step=7024, episodic_return=6.0, episodic_length=1551
global_step=7192, episodic_return=2.0, episodic_length=824
global_step=7488, episodic_return=3.0, episodic_length=1028
global_step=7592, episodic_return=3.0, episodic_length=981
global_step=7712, episodic_return=3.0, episodic_length=1059
global_step=8216, episodic_return=1.0, episodic_length=656
global_step=8592, episodic_return=0.0, episodic_length=551
global_step=8632, episodic_return=5.0, episodic_length=1448
global_step=8808, episodic_return=2.0, episodic_length=904
global_step=8856, episodic_return=3.0, episodic_length=1148
global_step=9208, episodic_return=3.0, episodic_length=1010
global_step=9328, episodic_return=2.0, episodic_length=865
global_step=9720, episodic_return=0.0, episodic_length=545
global_step=9856, episodic_return=0.0, episodic_length=509
global_step=9872, episodic_return=1.0, episodic_length=660
global_step=10112, episodic_return=4.0, episodic_length=1210
global_step=10240, episodic_return=0.0, episodic_length=529
update 10/9765 | step 10240/10000000 | SPS 484 | pg_loss -0.0017 | v_loss 0.0330 | entropy 1.3719
global_step=10464, episodic_return=2.0, episodic_length=845
global_step=10848, episodic_return=5.0, episodic_length=1318
global_step=10968, episodic_return=0.0, episodic_length=564
global_step=11176, episodic_return=3.0, episodic_length=939
global_step=11288, episodic_return=0.0, episodic_length=600
global_step=11424, episodic_return=1.0, episodic_length=788
global_step=11488, episodic_return=0.0, episodic_length=534
global_step=11888, episodic_return=2.0, episodic_length=828
global_step=11896, episodic_return=0.0, episodic_length=536
global_step=12352, episodic_return=0.0, episodic_length=556
global_step=12576, episodic_return=5.0, episodic_length=1428
global_step=12984, episodic_return=0.0, episodic_length=556
global_step=13032, episodic_return=3.0, episodic_length=1039
global_step=13136, episodic_return=2.0, episodic_length=873
global_step=13296, episodic_return=2.0, episodic_length=917
global_step=13408, episodic_return=3.0, episodic_length=1127
global_step=13512, episodic_return=0.0, episodic_length=587
global_step=14328, episodic_return=0.0, episodic_length=537
global_step=14424, episodic_return=0.0, episodic_length=659
global_step=14568, episodic_return=5.0, episodic_length=1340
global_step=14584, episodic_return=0.0, episodic_length=540
global_step=14776, episodic_return=2.0, episodic_length=886
global_step=15320, episodic_return=2.0, episodic_length=956
global_step=15416, episodic_return=5.0, episodic_length=1422
global_step=15456, episodic_return=4.0, episodic_length=1248
global_step=15464, episodic_return=0.0, episodic_length=522
global_step=16112, episodic_return=1.0, episodic_length=784
global_step=16368, episodic_return=3.0, episodic_length=1027
global_step=16472, episodic_return=2.0, episodic_length=865
global_step=16528, episodic_return=0.0, episodic_length=541
global_step=16872, episodic_return=1.0, episodic_length=740
global_step=17104, episodic_return=0.0, episodic_length=503
global_step=17312, episodic_return=5.0, episodic_length=1388
global_step=17592, episodic_return=3.0, episodic_length=1073
global_step=17752, episodic_return=1.0, episodic_length=660
global_step=17776, episodic_return=4.0, episodic_length=1244
global_step=17800, episodic_return=1.0, episodic_length=721
global_step=18400, episodic_return=0.0, episodic_length=565
global_step=18416, episodic_return=3.0, episodic_length=959
global_step=18848, episodic_return=2.0, episodic_length=886
global_step=18888, episodic_return=3.0, episodic_length=1020
global_step=19168, episodic_return=1.0, episodic_length=716
global_step=19232, episodic_return=2.0, episodic_length=821
global_step=19408, episodic_return=2.0, episodic_length=817
global_step=19912, episodic_return=3.0, episodic_length=1071
global_step=20032, episodic_return=2.0, episodic_length=824
global_step=20056, episodic_return=2.0, episodic_length=844
global_step=20200, episodic_return=1.0, episodic_length=697
global_step=20232, episodic_return=0.0, episodic_length=548
global_step=20248, episodic_return=0.0, episodic_length=525
update 20/9765 | step 20480/10000000 | SPS 522 | pg_loss -0.0011 | v_loss 0.0223 | entropy 1.3422
global_step=21008, episodic_return=2.0, episodic_length=806
global_step=21144, episodic_return=0.0, episodic_length=578
global_step=21280, episodic_return=0.0, episodic_length=552
global_step=21280, episodic_return=0.0, episodic_length=533
global_step=21280, episodic_return=4.0, episodic_length=1196
global_step=21848, episodic_return=2.0, episodic_length=829
global_step=22000, episodic_return=3.0, episodic_length=1060
global_step=22136, episodic_return=0.0, episodic_length=561
global_step=22256, episodic_return=0.0, episodic_length=561
global_step=22304, episodic_return=0.0, episodic_length=536
global_step=22344, episodic_return=4.0, episodic_length=1138
global_step=22400, episodic_return=0.0, episodic_length=572
global_step=23048, episodic_return=0.0, episodic_length=536
global_step=23344, episodic_return=0.0, episodic_length=547
global_step=23440, episodic_return=0.0, episodic_length=524
global_step=23456, episodic_return=0.0, episodic_length=560
global_step=23552, episodic_return=4.0, episodic_length=1153
global_step=23576, episodic_return=2.0, episodic_length=866
global_step=24152, episodic_return=3.0, episodic_length=922
global_step=24192, episodic_return=3.0, episodic_length=1044
global_step=24568, episodic_return=0.0, episodic_length=551
global_step=24720, episodic_return=2.0, episodic_length=837
global_step=25144, episodic_return=2.0, episodic_length=873
global_step=25160, episodic_return=2.0, episodic_length=804
global_step=25176, episodic_return=2.0, episodic_length=800
global_step=25616, episodic_return=0.0, episodic_length=524
global_step=25752, episodic_return=2.0, episodic_length=798
global_step=25808, episodic_return=0.0, episodic_length=560
global_step=26016, episodic_return=5.0, episodic_length=1342
global_step=26184, episodic_return=0.0, episodic_length=537
global_step=26616, episodic_return=1.0, episodic_length=753
global_step=26640, episodic_return=4.0, episodic_length=1232
global_step=27064, episodic_return=0.0, episodic_length=525
global_step=27104, episodic_return=3.0, episodic_length=963
global_step=27232, episodic_return=0.0, episodic_length=545
global_step=27240, episodic_return=1.0, episodic_length=736
global_step=27680, episodic_return=0.0, episodic_length=540
global_step=28200, episodic_return=4.0, episodic_length=1224
global_step=28240, episodic_return=2.0, episodic_length=811
global_step=28296, episodic_return=0.0, episodic_length=543
global_step=28336, episodic_return=1.0, episodic_length=632
