A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: ViT (scratch) (seed=1)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=1.0)) | Heads: 263,941 params
global_step=1032, episodic_return=0.0, episodic_length=514
global_step=1136, episodic_return=0.0, episodic_length=584
global_step=1416, episodic_return=1.0, episodic_length=735
global_step=1680, episodic_return=2.0, episodic_length=842
global_step=1720, episodic_return=2.0, episodic_length=871
global_step=1936, episodic_return=2.0, episodic_length=973
global_step=2432, episodic_return=4.0, episodic_length=1240
global_step=2432, episodic_return=4.0, episodic_length=1236
global_step=2472, episodic_return=0.0, episodic_length=547
global_step=2504, episodic_return=1.0, episodic_length=688
global_step=2600, episodic_return=1.0, episodic_length=788
global_step=3040, episodic_return=0.0, episodic_length=568
global_step=3216, episodic_return=1.0, episodic_length=758
global_step=3536, episodic_return=3.0, episodic_length=928
global_step=3576, episodic_return=0.0, episodic_length=538
global_step=3816, episodic_return=1.0, episodic_length=700
global_step=3960, episodic_return=1.0, episodic_length=752
global_step=4472, episodic_return=2.0, episodic_length=943
global_step=4672, episodic_return=4.0, episodic_length=1136
global_step=4808, episodic_return=1.0, episodic_length=655
global_step=4872, episodic_return=1.0, episodic_length=672
global_step=4984, episodic_return=0.0, episodic_length=521
global_step=4992, episodic_return=2.0, episodic_length=911
global_step=5624, episodic_return=2.0, episodic_length=906
global_step=5760, episodic_return=5.0, episodic_length=1385
global_step=6032, episodic_return=2.0, episodic_length=782
global_step=6360, episodic_return=1.0, episodic_length=773
global_step=6624, episodic_return=2.0, episodic_length=827
global_step=6864, episodic_return=3.0, episodic_length=1106
global_step=6872, episodic_return=3.0, episodic_length=1023
global_step=6888, episodic_return=3.0, episodic_length=946
global_step=7040, episodic_return=0.0, episodic_length=516
global_step=7320, episodic_return=2.0, episodic_length=848
global_step=7576, episodic_return=0.0, episodic_length=608
global_step=7888, episodic_return=0.0, episodic_length=507
global_step=7920, episodic_return=0.0, episodic_length=518
global_step=8056, episodic_return=4.0, episodic_length=1147
global_step=8168, episodic_return=0.0, episodic_length=573
global_step=8520, episodic_return=2.0, episodic_length=841
global_step=8912, episodic_return=3.0, episodic_length=1146
global_step=8944, episodic_return=0.0, episodic_length=510
global_step=9144, episodic_return=2.0, episodic_length=797
global_step=9168, episodic_return=2.0, episodic_length=934
global_step=9376, episodic_return=1.0, episodic_length=656
global_step=9528, episodic_return=2.0, episodic_length=842
global_step=9560, episodic_return=0.0, episodic_length=517
global_step=9800, episodic_return=2.0, episodic_length=818
global_step=9944, episodic_return=0.0, episodic_length=525
update 10/9765 | step 10240/10000000 | SPS 447 | pg_loss -0.0016 | v_loss 0.0419 | entropy 1.3756
global_step=10304, episodic_return=0.0, episodic_length=579
global_step=10752, episodic_return=1.0, episodic_length=808
global_step=10768, episodic_return=0.0, episodic_length=636
global_step=10928, episodic_return=0.0, episodic_length=577
global_step=11392, episodic_return=3.0, episodic_length=1014
global_step=11392, episodic_return=0.0, episodic_length=568
global_step=11728, episodic_return=3.0, episodic_length=1099
global_step=11952, episodic_return=8.0, episodic_length=1508
global_step=11960, episodic_return=0.0, episodic_length=528
global_step=12168, episodic_return=1.0, episodic_length=708
global_step=12192, episodic_return=1.0, episodic_length=719
global_step=12656, episodic_return=7.0, episodic_length=1359
global_step=12808, episodic_return=1.0, episodic_length=716
global_step=13336, episodic_return=2.0, episodic_length=812
global_step=13416, episodic_return=1.0, episodic_length=739
global_step=13584, episodic_return=2.0, episodic_length=828
global_step=13856, episodic_return=2.0, episodic_length=848
global_step=13896, episodic_return=0.0, episodic_length=549
global_step=14288, episodic_return=5.0, episodic_length=1456
