A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: AE (fine-tune) (seed=1)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=1032, episodic_return=0.0, episodic_length=514
global_step=1136, episodic_return=0.0, episodic_length=584
global_step=1416, episodic_return=1.0, episodic_length=735
global_step=1680, episodic_return=2.0, episodic_length=842
global_step=1936, episodic_return=2.0, episodic_length=973
global_step=1968, episodic_return=3.0, episodic_length=995
global_step=2432, episodic_return=4.0, episodic_length=1240
global_step=2432, episodic_return=4.0, episodic_length=1236
global_step=2504, episodic_return=1.0, episodic_length=688
global_step=3040, episodic_return=0.0, episodic_length=568
global_step=3336, episodic_return=2.0, episodic_length=977
global_step=3456, episodic_return=1.0, episodic_length=754
global_step=3520, episodic_return=4.0, episodic_length=1248
global_step=3696, episodic_return=3.0, episodic_length=1008
global_step=3704, episodic_return=1.0, episodic_length=652
global_step=3816, episodic_return=1.0, episodic_length=700
global_step=4032, episodic_return=0.0, episodic_length=519
global_step=4192, episodic_return=2.0, episodic_length=846
global_step=4392, episodic_return=0.0, episodic_length=537
global_step=4520, episodic_return=0.0, episodic_length=555
global_step=4824, episodic_return=1.0, episodic_length=659
global_step=4944, episodic_return=1.0, episodic_length=644
global_step=5328, episodic_return=0.0, episodic_length=589
global_step=5344, episodic_return=2.0, episodic_length=830
global_step=5512, episodic_return=1.0, episodic_length=738
global_step=5520, episodic_return=0.0, episodic_length=498
global_step=5624, episodic_return=2.0, episodic_length=906
global_step=6096, episodic_return=1.0, episodic_length=640
global_step=6416, episodic_return=3.0, episodic_length=1024
global_step=6520, episodic_return=1.0, episodic_length=784
global_step=6536, episodic_return=0.0, episodic_length=509
global_step=6552, episodic_return=0.0, episodic_length=518
global_step=7040, episodic_return=2.0, episodic_length=881
global_step=7240, episodic_return=0.0, episodic_length=583
global_step=7384, episodic_return=2.0, episodic_length=880
global_step=7424, episodic_return=3.0, episodic_length=1053
global_step=7576, episodic_return=0.0, episodic_length=528
global_step=8128, episodic_return=0.0, episodic_length=543
global_step=8520, episodic_return=1.0, episodic_length=648
global_step=8624, episodic_return=3.0, episodic_length=1053
global_step=8744, episodic_return=3.0, episodic_length=1095
global_step=9352, episodic_return=2.0, episodic_length=961
global_step=9368, episodic_return=0.0, episodic_length=639
global_step=9376, episodic_return=5.0, episodic_length=1486
global_step=9544, episodic_return=0.0, episodic_length=513
global_step=9728, episodic_return=4.0, episodic_length=1089
update 10/9765 | step 10240/10000000 | SPS 486 | pg_loss 0.0013 | v_loss 0.0700 | entropy 1.3781
global_step=10344, episodic_return=9.0, episodic_length=1490
global_step=10352, episodic_return=2.0, episodic_length=808
global_step=10488, episodic_return=2.0, episodic_length=939
global_step=10704, episodic_return=1.0, episodic_length=668
global_step=10720, episodic_return=1.0, episodic_length=693
global_step=11216, episodic_return=1.0, episodic_length=747
global_step=11376, episodic_return=3.0, episodic_length=1026
global_step=11424, episodic_return=0.0, episodic_length=548
global_step=11504, episodic_return=0.0, episodic_length=591
global_step=11848, episodic_return=3.0, episodic_length=1164
global_step=12280, episodic_return=1.0, episodic_length=788
global_step=12344, episodic_return=2.0, episodic_length=932
global_step=12448, episodic_return=0.0, episodic_length=544
global_step=12520, episodic_return=0.0, episodic_length=533
global_step=12568, episodic_return=2.0, episodic_length=941
global_step=12880, episodic_return=0.0, episodic_length=530
global_step=13328, episodic_return=2.0, episodic_length=962
global_step=13480, episodic_return=3.0, episodic_length=1132
global_step=13544, episodic_return=0.0, episodic_length=519
global_step=13968, episodic_return=2.0, episodic_length=807
global_step=14256, episodic_return=2.0, episodic_length=901
