A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: JEPA (fine-tune) (seed=1)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=1032, episodic_return=0.0, episodic_length=514
global_step=1136, episodic_return=0.0, episodic_length=584
global_step=1416, episodic_return=1.0, episodic_length=735
global_step=1488, episodic_return=1.0, episodic_length=755
global_step=1648, episodic_return=2.0, episodic_length=826
global_step=1952, episodic_return=2.0, episodic_length=981
global_step=2024, episodic_return=3.0, episodic_length=1031
global_step=2136, episodic_return=0.0, episodic_length=502
global_step=2512, episodic_return=4.0, episodic_length=1280
global_step=2960, episodic_return=1.0, episodic_length=749
global_step=3064, episodic_return=1.0, episodic_length=706
global_step=3240, episodic_return=1.0, episodic_length=660
global_step=3280, episodic_return=3.0, episodic_length=1131
global_step=3288, episodic_return=2.0, episodic_length=953
global_step=3480, episodic_return=1.0, episodic_length=744
global_step=3824, episodic_return=2.0, episodic_length=846
global_step=3872, episodic_return=1.0, episodic_length=690
global_step=4264, episodic_return=0.0, episodic_length=537
global_step=4360, episodic_return=1.0, episodic_length=722
global_step=4368, episodic_return=0.0, episodic_length=548
global_step=4496, episodic_return=1.0, episodic_length=616
global_step=5000, episodic_return=3.0, episodic_length=988
global_step=5184, episodic_return=2.0, episodic_length=862
global_step=5240, episodic_return=1.0, episodic_length=729
global_step=5400, episodic_return=0.0, episodic_length=518
global_step=5704, episodic_return=1.0, episodic_length=677
global_step=5816, episodic_return=4.0, episodic_length=975
global_step=6256, episodic_return=0.0, episodic_length=530
global_step=6464, episodic_return=0.0, episodic_length=533
global_step=6504, episodic_return=1.0, episodic_length=674
global_step=6560, episodic_return=1.0, episodic_length=775
global_step=6704, episodic_return=4.0, episodic_length=1221
global_step=6976, episodic_return=4.0, episodic_length=1242
global_step=7288, episodic_return=1.0, episodic_length=799
global_step=7512, episodic_return=2.0, episodic_length=847
global_step=7624, episodic_return=0.0, episodic_length=532
global_step=7688, episodic_return=1.0, episodic_length=715
global_step=7872, episodic_return=1.0, episodic_length=682
global_step=8000, episodic_return=1.0, episodic_length=766
global_step=8040, episodic_return=0.0, episodic_length=544
global_step=8048, episodic_return=1.0, episodic_length=667
global_step=8352, episodic_return=0.0, episodic_length=536
global_step=8936, episodic_return=0.0, episodic_length=546
global_step=9024, episodic_return=1.0, episodic_length=714
global_step=9072, episodic_return=0.0, episodic_length=538
global_step=9096, episodic_return=0.0, episodic_length=537
global_step=9200, episodic_return=2.0, episodic_length=778
global_step=9384, episodic_return=0.0, episodic_length=527
global_step=9480, episodic_return=1.0, episodic_length=722
global_step=9960, episodic_return=4.0, episodic_length=1237
update 10/9765 | step 10240/10000000 | SPS 442 | pg_loss -0.0199 | v_loss 0.0418 | entropy 1.3576
global_step=10352, episodic_return=1.0, episodic_length=667
global_step=10384, episodic_return=1.0, episodic_length=646
global_step=11064, episodic_return=3.0, episodic_length=1008
global_step=11072, episodic_return=2.0, episodic_length=952
global_step=11128, episodic_return=2.0, episodic_length=830
global_step=11360, episodic_return=0.0, episodic_length=502
global_step=11392, episodic_return=2.0, episodic_length=1005
global_step=11448, episodic_return=0.0, episodic_length=546
global_step=11632, episodic_return=5.0, episodic_length=1356
global_step=11912, episodic_return=3.0, episodic_length=987
global_step=12168, episodic_return=0.0, episodic_length=554
global_step=12480, episodic_return=0.0, episodic_length=577
global_step=12504, episodic_return=1.0, episodic_length=690
global_step=12816, episodic_return=1.0, episodic_length=732
global_step=13048, episodic_return=1.0, episodic_length=708
global_step=13168, episodic_return=1.0, episodic_length=651
global_step=13224, episodic_return=0.0, episodic_length=543
