A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: ViT (scratch) (seed=3)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=1.0)) | Heads: 263,941 params
global_step=1088, episodic_return=0.0, episodic_length=546
global_step=1248, episodic_return=1.0, episodic_length=647
global_step=1288, episodic_return=1.0, episodic_length=669
global_step=1448, episodic_return=1.0, episodic_length=743
global_step=1560, episodic_return=1.0, episodic_length=793
global_step=1824, episodic_return=2.0, episodic_length=935
global_step=2472, episodic_return=0.0, episodic_length=604
global_step=2504, episodic_return=0.0, episodic_length=545
global_step=2600, episodic_return=4.0, episodic_length=1327
global_step=2616, episodic_return=5.0, episodic_length=1309
global_step=2744, episodic_return=2.0, episodic_length=826
global_step=3080, episodic_return=2.0, episodic_length=920
global_step=3184, episodic_return=2.0, episodic_length=822
global_step=3192, episodic_return=1.0, episodic_length=693
global_step=3800, episodic_return=0.0, episodic_length=617
global_step=3848, episodic_return=0.0, episodic_length=571
global_step=4080, episodic_return=2.0, episodic_length=807
global_step=4288, episodic_return=0.0, episodic_length=551
global_step=4296, episodic_return=2.0, episodic_length=907
global_step=4480, episodic_return=2.0, episodic_length=936
global_step=4896, episodic_return=3.0, episodic_length=932
global_step=4912, episodic_return=2.0, episodic_length=888
global_step=5144, episodic_return=1.0, episodic_length=643
global_step=5232, episodic_return=1.0, episodic_length=727
global_step=5672, episodic_return=1.0, episodic_length=690
global_step=5904, episodic_return=2.0, episodic_length=935
global_step=5944, episodic_return=1.0, episodic_length=740
global_step=6120, episodic_return=2.0, episodic_length=924
global_step=6168, episodic_return=1.0, episodic_length=627
global_step=6576, episodic_return=1.0, episodic_length=681
global_step=7080, episodic_return=1.0, episodic_length=715
global_step=7224, episodic_return=0.0, episodic_length=549
global_step=7280, episodic_return=1.0, episodic_length=693
global_step=7288, episodic_return=4.0, episodic_length=1074
global_step=7368, episodic_return=1.0, episodic_length=715
global_step=7536, episodic_return=5.0, episodic_length=1316
global_step=7616, episodic_return=0.0, episodic_length=526
global_step=7760, episodic_return=2.0, episodic_length=797
global_step=8488, episodic_return=0.0, episodic_length=571
global_step=8520, episodic_return=1.0, episodic_length=731
global_step=8600, episodic_return=0.0, episodic_length=544
global_step=8688, episodic_return=0.0, episodic_length=538
global_step=8928, episodic_return=2.0, episodic_length=845
global_step=9192, episodic_return=1.0, episodic_length=717
global_step=9288, episodic_return=3.0, episodic_length=1013
global_step=9336, episodic_return=3.0, episodic_length=1071
global_step=9624, episodic_return=0.0, episodic_length=532
global_step=9672, episodic_return=0.0, episodic_length=600
global_step=9776, episodic_return=1.0, episodic_length=654
global_step=9784, episodic_return=0.0, episodic_length=557
update 10/9765 | step 10240/10000000 | SPS 453 | pg_loss -0.0010 | v_loss 0.0211 | entropy 1.3862
global_step=10416, episodic_return=1.0, episodic_length=755
global_step=10440, episodic_return=0.0, episodic_length=562
global_step=10832, episodic_return=2.0, episodic_length=775
global_step=10872, episodic_return=0.0, episodic_length=555
global_step=11136, episodic_return=1.0, episodic_length=733
global_step=11168, episodic_return=2.0, episodic_length=990
global_step=11320, episodic_return=2.0, episodic_length=769
global_step=11480, episodic_return=2.0, episodic_length=948
global_step=12224, episodic_return=1.0, episodic_length=679
global_step=12408, episodic_return=0.0, episodic_length=561
global_step=12472, episodic_return=3.0, episodic_length=1013
global_step=12480, episodic_return=3.0, episodic_length=1049
global_step=12552, episodic_return=1.0, episodic_length=704
global_step=12752, episodic_return=1.0, episodic_length=649
global_step=12896, episodic_return=3.0, episodic_length=894
global_step=12920, episodic_return=3.0, episodic_length=1044
global_step=13496, episodic_return=0.0, episodic_length=513
global_step=13784, episodic_return=0.0, episodic_length=626
global_step=13920, episodic_return=0.0, episodic_length=514
global_step=13936, episodic_return=0.0, episodic_length=613
global_step=13960, episodic_return=0.0, episodic_length=545
global_step=14008, episodic_return=1.0, episodic_length=815
global_step=14304, episodic_return=3.0, episodic_length=1060
global_step=14360, episodic_return=3.0, episodic_length=960
global_step=14872, episodic_return=0.0, episodic_length=543
global_step=14944, episodic_return=0.0, episodic_length=512
global_step=14960, episodic_return=1.0, episodic_length=746
global_step=15080, episodic_return=0.0, episodic_length=570
global_step=15096, episodic_return=0.0, episodic_length=545
global_step=15400, episodic_return=0.0, episodic_length=522
global_step=15408, episodic_return=1.0, episodic_length=764
global_step=15968, episodic_return=2.0, episodic_length=842
global_step=15976, episodic_return=0.0, episodic_length=521
global_step=16024, episodic_return=0.0, episodic_length=590
global_step=16328, episodic_return=1.0, episodic_length=630
global_step=16504, episodic_return=1.0, episodic_length=714
global_step=16504, episodic_return=0.0, episodic_length=568
global_step=16720, episodic_return=2.0, episodic_length=893
global_step=16888, episodic_return=1.0, episodic_length=757
global_step=17352, episodic_return=1.0, episodic_length=708
global_step=17376, episodic_return=1.0, episodic_length=719
global_step=17496, episodic_return=1.0, episodic_length=736
global_step=17672, episodic_return=1.0, episodic_length=672
global_step=17808, episodic_return=0.0, episodic_length=554
global_step=17952, episodic_return=1.0, episodic_length=735
global_step=17968, episodic_return=0.0, episodic_length=536
global_step=18592, episodic_return=0.0, episodic_length=571
global_step=18696, episodic_return=1.0, episodic_length=680
global_step=18712, episodic_return=0.0, episodic_length=535
global_step=18744, episodic_return=5.0, episodic_length=1133
global_step=18984, episodic_return=0.0, episodic_length=512
global_step=19032, episodic_return=2.0, episodic_length=848
global_step=19280, episodic_return=1.0, episodic_length=741
global_step=19320, episodic_return=1.0, episodic_length=685
global_step=19992, episodic_return=1.0, episodic_length=659
global_step=20048, episodic_return=1.0, episodic_length=684
global_step=20232, episodic_return=2.0, episodic_length=761
global_step=20368, episodic_return=2.0, episodic_length=908
global_step=20416, episodic_return=1.0, episodic_length=714
update 20/9765 | step 20480/10000000 | SPS 473 | pg_loss -0.0026 | v_loss 0.0223 | entropy 1.3817
global_step=20552, episodic_return=1.0, episodic_length=632
global_step=20744, episodic_return=1.0, episodic_length=729
global_step=20752, episodic_return=2.0, episodic_length=869
global_step=21016, episodic_return=0.0, episodic_length=536
global_step=21128, episodic_return=0.0, episodic_length=552
global_step=21704, episodic_return=1.0, episodic_length=760
global_step=21944, episodic_return=2.0, episodic_length=795
global_step=21976, episodic_return=0.0, episodic_length=630
global_step=22032, episodic_return=1.0, episodic_length=636
global_step=22448, episodic_return=1.0, episodic_length=664
global_step=22456, episodic_return=1.0, episodic_length=718
global_step=22456, episodic_return=3.0, episodic_length=971
global_step=22792, episodic_return=4.0, episodic_length=1190
global_step=22840, episodic_return=0.0, episodic_length=573
global_step=23024, episodic_return=0.0, episodic_length=551
global_step=23192, episodic_return=0.0, episodic_length=590
global_step=23472, episodic_return=1.0, episodic_length=756
global_step=23736, episodic_return=1.0, episodic_length=656
global_step=23904, episodic_return=2.0, episodic_length=752
global_step=23952, episodic_return=0.0, episodic_length=558
global_step=23960, episodic_return=1.0, episodic_length=749
global_step=24200, episodic_return=1.0, episodic_length=716
global_step=24376, episodic_return=0.0, episodic_length=591
global_step=24408, episodic_return=1.0, episodic_length=689
global_step=24824, episodic_return=1.0, episodic_length=698
global_step=24976, episodic_return=0.0, episodic_length=551
global_step=25032, episodic_return=0.0, episodic_length=534
global_step=25232, episodic_return=2.0, episodic_length=754
global_step=25360, episodic_return=1.0, episodic_length=710
global_step=25392, episodic_return=0.0, episodic_length=517
global_step=26064, episodic_return=2.0, episodic_length=825
global_step=26080, episodic_return=2.0, episodic_length=952
global_step=26144, episodic_return=0.0, episodic_length=582
global_step=26520, episodic_return=1.0, episodic_length=668
global_step=26632, episodic_return=1.0, episodic_length=638
global_step=26680, episodic_return=2.0, episodic_length=841
global_step=27040, episodic_return=4.0, episodic_length=1108
global_step=27152, episodic_return=0.0, episodic_length=562
global_step=27392, episodic_return=3.0, episodic_length=1019
global_step=27424, episodic_return=1.0, episodic_length=647
global_step=27464, episodic_return=1.0, episodic_length=706
global_step=27584, episodic_return=0.0, episodic_length=547
global_step=27672, episodic_return=0.0, episodic_length=525
global_step=27992, episodic_return=1.0, episodic_length=654
global_step=28192, episodic_return=0.0, episodic_length=517
global_step=28368, episodic_return=1.0, episodic_length=662
global_step=28464, episodic_return=0.0, episodic_length=533
global_step=28680, episodic_return=0.0, episodic_length=523
global_step=28728, episodic_return=1.0, episodic_length=649
global_step=29056, episodic_return=1.0, episodic_length=747
global_step=29072, episodic_return=0.0, episodic_length=554
global_step=29480, episodic_return=0.0, episodic_length=519
global_step=29520, episodic_return=2.0, episodic_length=1039
global_step=29728, episodic_return=0.0, episodic_length=535
global_step=29824, episodic_return=0.0, episodic_length=559
global_step=29856, episodic_return=1.0, episodic_length=766
global_step=29896, episodic_return=1.0, episodic_length=856
global_step=30136, episodic_return=0.0, episodic_length=535
global_step=30624, episodic_return=1.0, episodic_length=806
update 30/9765 | step 30720/10000000 | SPS 483 | pg_loss -0.0069 | v_loss 0.0278 | entropy 1.3811
global_step=30752, episodic_return=1.0, episodic_length=620
global_step=30768, episodic_return=1.0, episodic_length=654
global_step=30864, episodic_return=0.0, episodic_length=587
global_step=30888, episodic_return=0.0, episodic_length=534
global_step=30912, episodic_return=0.0, episodic_length=526
global_step=31608, episodic_return=1.0, episodic_length=735
global_step=31632, episodic_return=2.0, episodic_length=885
global_step=32200, episodic_return=1.0, episodic_length=716
global_step=32280, episodic_return=2.0, episodic_length=842
global_step=32312, episodic_return=1.0, episodic_length=698
global_step=32416, episodic_return=2.0, episodic_length=831
global_step=32448, episodic_return=1.0, episodic_length=796
global_step=32672, episodic_return=0.0, episodic_length=537
global_step=32784, episodic_return=2.0, episodic_length=979
global_step=33728, episodic_return=1.0, episodic_length=736
global_step=33960, episodic_return=2.0, episodic_length=898
global_step=34040, episodic_return=2.0, episodic_length=822
global_step=34120, episodic_return=2.0, episodic_length=920
global_step=34128, episodic_return=4.0, episodic_length=1242
global_step=34328, episodic_return=3.0, episodic_length=957
global_step=35048, episodic_return=3.0, episodic_length=1144
global_step=35064, episodic_return=4.0, episodic_length=1202
global_step=35064, episodic_return=1.0, episodic_length=684
global_step=35312, episodic_return=1.0, episodic_length=677
global_step=35544, episodic_return=1.0, episodic_length=720
global_step=35568, episodic_return=1.0, episodic_length=777
global_step=35640, episodic_return=1.0, episodic_length=655
global_step=35656, episodic_return=1.0, episodic_length=763
global_step=36128, episodic_return=0.0, episodic_length=529
global_step=36240, episodic_return=0.0, episodic_length=613
global_step=36728, episodic_return=0.0, episodic_length=588
global_step=36776, episodic_return=0.0, episodic_length=630
global_step=36832, episodic_return=0.0, episodic_length=598
global_step=36840, episodic_return=2.0, episodic_length=909
global_step=37088, episodic_return=2.0, episodic_length=883
