A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: JEPA (fine-tune) (seed=2)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=1008, episodic_return=0.0, episodic_length=520
global_step=1024, episodic_return=0.0, episodic_length=539
global_step=1112, episodic_return=0.0, episodic_length=567
global_step=1120, episodic_return=0.0, episodic_length=582
global_step=1488, episodic_return=1.0, episodic_length=766
global_step=1504, episodic_return=1.0, episodic_length=750
global_step=1984, episodic_return=2.0, episodic_length=994
global_step=2440, episodic_return=1.0, episodic_length=725
global_step=2824, episodic_return=2.0, episodic_length=910
global_step=2968, episodic_return=2.0, episodic_length=938
global_step=2968, episodic_return=2.0, episodic_length=928
global_step=3008, episodic_return=5.0, episodic_length=1524
global_step=3040, episodic_return=1.0, episodic_length=773
global_step=3520, episodic_return=0.0, episodic_length=548
global_step=3672, episodic_return=3.0, episodic_length=1102
global_step=3880, episodic_return=0.0, episodic_length=532
global_step=4096, episodic_return=0.0, episodic_length=536
global_step=4224, episodic_return=1.0, episodic_length=651
global_step=4272, episodic_return=1.0, episodic_length=650
global_step=4656, episodic_return=5.0, episodic_length=1334
global_step=4752, episodic_return=2.0, episodic_length=916
global_step=4976, episodic_return=1.0, episodic_length=737
global_step=5152, episodic_return=0.0, episodic_length=531
global_step=5384, episodic_return=2.0, episodic_length=858
global_step=5480, episodic_return=2.0, episodic_length=822
global_step=5744, episodic_return=0.0, episodic_length=563
global_step=5968, episodic_return=2.0, episodic_length=858
global_step=6200, episodic_return=0.0, episodic_length=538
global_step=6624, episodic_return=2.0, episodic_length=830
global_step=6840, episodic_return=0.0, episodic_length=544
global_step=6848, episodic_return=1.0, episodic_length=709
global_step=7088, episodic_return=0.0, episodic_length=573
global_step=7264, episodic_return=0.0, episodic_length=540
global_step=7416, episodic_return=6.0, episodic_length=1592
global_step=7448, episodic_return=5.0, episodic_length=1346
global_step=7560, episodic_return=3.0, episodic_length=1087
global_step=7904, episodic_return=0.0, episodic_length=528
global_step=8240, episodic_return=0.0, episodic_length=573
global_step=8376, episodic_return=0.0, episodic_length=556
global_step=8544, episodic_return=2.0, episodic_length=855
global_step=8984, episodic_return=0.0, episodic_length=559
global_step=9328, episodic_return=8.0, episodic_length=1354
global_step=9352, episodic_return=3.0, episodic_length=979
global_step=9424, episodic_return=3.0, episodic_length=992
global_step=9592, episodic_return=0.0, episodic_length=540
global_step=9976, episodic_return=2.0, episodic_length=812
global_step=9992, episodic_return=4.0, episodic_length=1226
global_step=10168, episodic_return=2.0, episodic_length=977
update 10/9765 | step 10240/10000000 | SPS 449 | pg_loss -0.0093 | v_loss 0.0403 | entropy 1.3025
global_step=10392, episodic_return=0.0, episodic_length=540
global_step=10608, episodic_return=2.0, episodic_length=829
global_step=11224, episodic_return=0.0, episodic_length=537
global_step=11552, episodic_return=3.0, episodic_length=1120
global_step=11584, episodic_return=2.0, episodic_length=819
global_step=11664, episodic_return=3.0, episodic_length=1037
global_step=12088, episodic_return=3.0, episodic_length=1059
global_step=12272, episodic_return=2.0, episodic_length=941
global_step=12272, episodic_return=8.0, episodic_length=1422
global_step=13000, episodic_return=4.0, episodic_length=1205
global_step=13176, episodic_return=0.0, episodic_length=568
global_step=13240, episodic_return=3.0, episodic_length=1008
global_step=13584, episodic_return=3.0, episodic_length=1036
global_step=13720, episodic_return=3.0, episodic_length=1028
global_step=13912, episodic_return=2.0, episodic_length=838
global_step=14000, episodic_return=4.0, episodic_length=1221
global_step=14232, episodic_return=0.0, episodic_length=535
global_step=14328, episodic_return=3.0, episodic_length=1032
global_step=14496, episodic_return=1.0, episodic_length=641
global_step=14584, episodic_return=2.0, episodic_length=805
global_step=14984, episodic_return=0.0, episodic_length=553
global_step=15320, episodic_return=0.0, episodic_length=547
global_step=15464, episodic_return=0.0, episodic_length=581
global_step=15656, episodic_return=2.0, episodic_length=833
global_step=15672, episodic_return=0.0, episodic_length=560
global_step=15688, episodic_return=3.0, episodic_length=1064
global_step=15728, episodic_return=1.0, episodic_length=621
global_step=16168, episodic_return=4.0, episodic_length=1241
global_step=16600, episodic_return=2.0, episodic_length=808
global_step=16736, episodic_return=0.0, episodic_length=544
global_step=16760, episodic_return=0.0, episodic_length=563
global_step=17192, episodic_return=3.0, episodic_length=959
global_step=17280, episodic_return=2.0, episodic_length=814
global_step=17336, episodic_return=2.0, episodic_length=821
global_step=17616, episodic_return=0.0, episodic_length=517
global_step=17768, episodic_return=0.0, episodic_length=513
global_step=17792, episodic_return=2.0, episodic_length=835
global_step=18312, episodic_return=5.0, episodic_length=1434
global_step=18336, episodic_return=0.0, episodic_length=579
global_step=18336, episodic_return=0.0, episodic_length=543
global_step=18400, episodic_return=0.0, episodic_length=544
global_step=18784, episodic_return=0.0, episodic_length=525
global_step=18824, episodic_return=0.0, episodic_length=532
global_step=19456, episodic_return=3.0, episodic_length=934
global_step=19560, episodic_return=1.0, episodic_length=629
global_step=19960, episodic_return=2.0, episodic_length=826
global_step=20032, episodic_return=2.0, episodic_length=817
global_step=20432, episodic_return=10.0, episodic_length=1856
update 20/9765 | step 20480/10000000 | SPS 477 | pg_loss -0.0101 | v_loss 0.0723 | entropy 1.2980
global_step=20496, episodic_return=0.0, episodic_length=537
global_step=20744, episodic_return=4.0, episodic_length=1216
global_step=20880, episodic_return=3.0, episodic_length=1024
global_step=21064, episodic_return=0.0, episodic_length=572
global_step=21200, episodic_return=0.0, episodic_length=599
global_step=21264, episodic_return=4.0, episodic_length=1263
global_step=21440, episodic_return=3.0, episodic_length=954
global_step=22104, episodic_return=2.0, episodic_length=841
global_step=22128, episodic_return=2.0, episodic_length=839
global_step=22248, episodic_return=0.0, episodic_length=543
global_step=22344, episodic_return=0.0, episodic_length=540
global_step=22496, episodic_return=1.0, episodic_length=728
global_step=23032, episodic_return=2.0, episodic_length=800
global_step=23240, episodic_return=0.0, episodic_length=513
global_step=23264, episodic_return=4.0, episodic_length=1196
global_step=23448, episodic_return=0.0, episodic_length=553
global_step=23448, episodic_return=1.0, episodic_length=665
global_step=23552, episodic_return=0.0, episodic_length=551
global_step=23632, episodic_return=8.0, episodic_length=1460
global_step=24288, episodic_return=0.0, episodic_length=507
global_step=24512, episodic_return=0.0, episodic_length=529
global_step=24528, episodic_return=1.0, episodic_length=648
global_step=24584, episodic_return=0.0, episodic_length=513
global_step=24776, episodic_return=5.0, episodic_length=1349
global_step=25040, episodic_return=1.0, episodic_length=704
global_step=25192, episodic_return=3.0, episodic_length=1104
global_step=25560, episodic_return=0.0, episodic_length=541
global_step=25608, episodic_return=1.0, episodic_length=659
global_step=25712, episodic_return=3.0, episodic_length=1136
global_step=25880, episodic_return=1.0, episodic_length=644
global_step=26096, episodic_return=0.0, episodic_length=553
global_step=26536, episodic_return=3.0, episodic_length=1025
global_step=27064, episodic_return=4.0, episodic_length=1149
global_step=27096, episodic_return=3.0, episodic_length=968
global_step=27208, episodic_return=2.0, episodic_length=826
global_step=27312, episodic_return=1.0, episodic_length=628
global_step=28136, episodic_return=4.0, episodic_length=1276
global_step=28144, episodic_return=0.0, episodic_length=536
global_step=28304, episodic_return=0.0, episodic_length=568
global_step=28352, episodic_return=4.0, episodic_length=1236
global_step=28576, episodic_return=1.0, episodic_length=637
